Foi testado cada conjunto de 8 contruções separadamente

teste V1

//Tetse para a segunda contrução
                     NoPlanta[1] = 15;	HoraInicioPlanta[1] = 7; 	HoraFinalPlanta[1] = 18;

 		NoCliente[1] = 12;		HoraInicioCliente[1] = 8;	 	HoraFinalCliente[1] = 8.5;		NumeroCarretas[1] = 3;
		NoCliente[2] = 13;		HoraInicioCliente[2] = 8; 		HoraFinalCliente[2] = 9;		NumeroCarretas[2] = 2;
		NoCliente[3] = 14;		HoraInicioCliente[3] = 8.5;	HoraFinalCliente[3] = 10;		NumeroCarretas[3] = 5;
		NoCliente[4] = 16;		HoraInicioCliente[4] = 9.5;	HoraFinalCliente[4] = 11;		NumeroCarretas[4] = 1;
		NoCliente[5] = 17;		HoraInicioCliente[5] = 10;	 	HoraFinalCliente[5] = 11;		NumeroCarretas[5] = 1;
		NoCliente[6] = 18;		HoraInicioCliente[6] = 10;	 	HoraFinalCliente[6] = 11.5;	NumeroCarretas[6] = 4;
		NoCliente[7] = 19;		HoraInicioCliente[7] = 10.5;	HoraFinalCliente[7] = 12;		NumeroCarretas[7] = 3;		// Menos de 3 segundo


 NoCliente[1] = 1;		HoraInicioCliente[1] = 8;		HoraFinalCliente[1] = 8.5;		NumeroCarretas[1] = 3; // Gerada com o rand com raiz de 49
                    NoCliente[2] = 2;		HoraInicioCliente[2] = 8.5;	 	HoraFinalCliente[2] = 9.5;		NumeroCarretas[2] = 5;
                    NoCliente[3] = 3;		HoraInicioCliente[3] = 9;	 	HoraFinalCliente[3] = 10.5;		NumeroCarretas[3] = 4;
                    NoCliente[4] = 5;		HoraInicioCliente[4] = 9.5;	 	HoraFinalCliente[4] = 10.5;		NumeroCarretas[4] = 2;
                    NoCliente[5] = 6;		HoraInicioCliente[5] = 10;	 	HoraFinalCliente[5] = 11;		NumeroCarretas[5] = 4;

                    NoCliente[6] = 7;		HoraInicioCliente[6] = 10;	 	HoraFinalCliente[6] = 11.5;		NumeroCarretas[6] = 1;
                    NoCliente[7] = 8;		HoraInicioCliente[7] = 10.5; 	HoraFinalCliente[7] = 11.5;		NumeroCarretas[7] = 1;
                    NoCliente[8] = 9;		HoraInicioCliente[8] = 11;	 	HoraFinalCliente[8] = 12;		NumeroCarretas[8] = 2;
  NoCliente[9] = 12;		HoraInicioCliente[9] = 8;	 	HoraFinalCliente[9] = 8.5;		NumeroCarretas[9] = 3;
                    NoCliente[10] = 13;		HoraInicioCliente[10] = 8; 		HoraFinalCliente[10] = 9;		NumeroCarretas[10] = 2;
                    NoCliente[11] = 14;		HoraInicioCliente[11] = 8.5;	HoraFinalCliente[11] = 10;		NumeroCarretas[11] = 5;
                    NoCliente[12] = 16;		HoraInicioCliente[12] = 9.5;	HoraFinalCliente[12] = 11;		NumeroCarretas[12] = 1;
